ls_xy,ls_z,os_xyz,ls_t,os_t,ls_ap,mse
0.24,0.5,150.0,5.0,5.0,2.0,
0.015,0.25,75.0,50.0,25.0,2.0,57.94801712036133
0.06,0.5,75.0,0.1,25.0,1.0,67.5653305053711
0.03,0.5,25.0,50.0,25.0,1.0,53.81277084350586
0.06,0.5,25.0,0.02,75.0,1000000.0,103.66436767578125
0.24,0.5,25.0,0.1,5.0,1000000.0,100.18573760986328
0.015,1.0,150.0,5.0,75.0,1000000.0,70.25421905517578
0.06,1.0,25.0,0.5,5.0,1.0,64.26598358154297
0.015,0.5,25.0,5.0,25.0,0.5,52.88246154785156
0.12,0.25,25.0,50.0,5.0,1000000.0,82.27071380615234
0.015,0.5,25.0,0.5,25.0,2.0,60.3572883605957
0.03,0.25,25.0,0.1,5.0,0.5,56.98185729980469
0.24,1.0,75.0,50.0,5.0,1.0,
0.06,1.0,75.0,50.0,75.0,1.0,
0.03,0.5,25.0,0.02,5.0,1000000.0,73.46405029296875
0.24,0.25,25.0,50.0,75.0,1000000.0,
0.12,1.0,25.0,50.0,25.0,1000000.0,
0.24,0.25,25.0,0.02,25.0,0.5,86.65361022949219
0.03,0.25,150.0,0.02,5.0,2.0,55.424888610839844
0.015,1.0,25.0,50.0,75.0,2.0,58.325233459472656
0.24,0.5,75.0,5.0,75.0,0.5,
0.12,0.5,75.0,0.5,75.0,0.5,
0.06,1.0,150.0,0.1,25.0,1000000.0,
0.12,0.5,25.0,5.0,75.0,1.0,
0.03,0.5,25.0,50.0,75.0,2.0,58.172542572021484
0.015,1.0,150.0,0.1,75.0,0.5,76.65338897705078
0.06,0.5,75.0,0.02,5.0,1.0,58.5782585144043
0.06,0.5,75.0,0.5,25.0,1000000.0,
0.03,0.5,150.0,50.0,75.0,2.0,57.83305740356445
0.24,0.25,75.0,0.1,25.0,0.5,81.7778091430664
0.015,1.0,150.0,0.02,75.0,0.5,80.60443878173828
0.24,0.25,75.0,50.0,5.0,0.5,65.29581451416016
0.06,0.25,75.0,0.02,5.0,1.0,58.42164993286133
0.03,1.0,75.0,50.0,75.0,1.0,57.767398834228516
0.015,0.25,75.0,5.0,75.0,0.5,55.91066360473633
0.24,0.25,75.0,50.0,75.0,2.0,
0.06,0.25,25.0,5.0,75.0,2.0,
0.03,0.5,150.0,50.0,25.0,1.0,56.90013885498047
0.015,1.0,25.0,0.5,25.0,1000000.0,66.1878662109375
0.24,0.5,150.0,0.5,25.0,2.0,
0.12,1.0,75.0,5.0,25.0,1.0,
0.12,1.0,75.0,0.1,75.0,1.0,
0.06,1.0,75.0,0.02,5.0,1.0,59.47480773925781
0.015,0.5,150.0,0.5,75.0,2.0,63.07195281982422
0.03,1.0,75.0,50.0,75.0,0.5,57.53403091430664
0.06,0.5,75.0,0.5,5.0,2.0,62.545005798339844
0.06,1.0,150.0,50.0,75.0,2.0,
0.015,1.0,25.0,0.5,5.0,0.5,54.617950439453125
0.24,0.25,25.0,0.5,5.0,0.5,70.60204315185547
0.12,0.5,150.0,0.1,75.0,0.5,
0.03,0.25,25.0,0.5,25.0,1000000.0,69.91085052490234
0.03,1.0,150.0,50.0,25.0,2.0,58.330562591552734
0.12,0.5,25.0,0.02,25.0,2.0,92.14946746826172
0.06,0.5,150.0,0.5,25.0,0.5,
0.24,0.25,25.0,0.5,25.0,0.5,75.14588928222656
0.06,1.0,75.0,0.5,5.0,1.0,60.96862030029297
0.12,0.5,25.0,0.1,75.0,1000000.0,
0.06,0.5,25.0,50.0,5.0,2.0,63.594852447509766
0.03,0.25,25.0,5.0,5.0,1.0,53.34661102294922
0.12,1.0,25.0,0.02,75.0,2.0,103.68684387207031
0.12,0.5,75.0,50.0,25.0,0.5,64.89022064208984
0.03,1.0,25.0,0.5,25.0,0.5,57.559200286865234
0.015,0.25,75.0,0.02,25.0,2.0,74.73509216308594
0.015,0.5,75.0,0.5,75.0,1.0,58.189781188964844
0.12,1.0,25.0,50.0,5.0,1000000.0,84.303955078125
0.12,1.0,75.0,0.02,5.0,1.0,67.19847869873047
0.24,0.25,25.0,5.0,75.0,1000000.0,
0.03,1.0,150.0,50.0,75.0,1.0,60.480384826660156
0.015,0.25,75.0,0.02,5.0,2.0,61.693450927734375
0.24,0.25,150.0,0.5,5.0,1.0,
0.06,0.25,25.0,5.0,5.0,0.5,58.16620635986328
0.03,1.0,150.0,0.02,25.0,1.0,64.30081176757812
0.03,0.25,25.0,0.1,5.0,2.0,61.5106086730957
0.24,0.5,25.0,0.02,5.0,2.0,81.81065368652344
0.015,0.25,150.0,0.02,5.0,1000000.0,69.64214324951172
0.24,0.5,25.0,0.1,75.0,1000000.0,119.35433959960938
0.24,0.25,25.0,0.1,5.0,1000000.0,99.94987487792969
0.06,1.0,150.0,50.0,25.0,2.0,
0.06,0.5,150.0,0.1,75.0,0.5,83.50828552246094
0.24,0.5,25.0,0.1,25.0,1.0,87.57122039794922
0.24,0.5,25.0,50.0,5.0,0.5,68.41436767578125
0.12,0.25,75.0,0.02,75.0,1000000.0,
0.12,0.25,25.0,50.0,25.0,1.0,66.41637420654297
0.03,1.0,25.0,0.5,25.0,1.0,58.41490936279297
0.03,1.0,25.0,0.1,25.0,2.0,67.59370422363281
0.03,0.5,75.0,0.5,5.0,1.0,54.92399978637695
0.24,0.5,150.0,50.0,75.0,0.5,
0.015,0.5,25.0,0.1,75.0,1.0,67.55284118652344
0.06,0.25,150.0,5.0,5.0,0.5,57.87246322631836
0.06,1.0,150.0,5.0,25.0,0.5,67.15577697753906
0.12,1.0,25.0,5.0,75.0,1.0,
0.12,0.25,75.0,0.1,5.0,0.5,63.031890869140625
0.03,0.5,75.0,50.0,5.0,0.5,53.28765106201172
0.06,0.25,75.0,5.0,75.0,0.5,61.96144485473633
0.015,1.0,150.0,50.0,5.0,1000000.0,67.81558990478516
0.015,0.25,25.0,50.0,25.0,0.5,52.44083786010742
0.24,0.25,150.0,0.02,75.0,0.5,
0.12,0.5,75.0,50.0,25.0,2.0,
0.06,0.25,25.0,50.0,75.0,1000000.0,
0.12,0.5,75.0,5.0,5.0,1.0,63.26712417602539
0.12,0.25,150.0,0.02,25.0,2.0,
0.24,1.0,150.0,5.0,5.0,1.0,
0.12,0.25,150.0,0.02,75.0,1.0,
0.12,0.25,75.0,0.1,75.0,0.5,
0.12,0.25,25.0,5.0,5.0,1.0,65.98841094970703
0.015,0.5,25.0,0.1,75.0,2.0,70.45726776123047
0.12,1.0,150.0,0.1,25.0,0.5,
0.24,1.0,150.0,0.02,75.0,1.0,
0.015,1.0,75.0,0.02,5.0,1000000.0,69.35072326660156
0.24,0.25,75.0,50.0,5.0,1.0,
0.24,1.0,75.0,0.1,5.0,0.5,71.24227905273438
0.24,0.5,25.0,0.5,25.0,0.5,76.11532592773438
0.24,0.25,150.0,0.1,25.0,0.5,
0.06,0.25,25.0,0.1,75.0,0.5,76.12449645996094
0.03,0.25,75.0,0.5,5.0,1.0,54.607810974121094
0.06,1.0,75.0,0.1,25.0,2.0,69.48908233642578
0.24,0.5,25.0,0.02,75.0,1.0,99.17048645019531
0.03,1.0,75.0,0.02,5.0,1000000.0,69.7846450805664
0.12,1.0,75.0,50.0,5.0,1.0,62.91788101196289
0.06,1.0,150.0,50.0,5.0,1.0,57.65298080444336
0.12,1.0,75.0,0.02,75.0,2.0,
0.015,1.0,150.0,0.5,25.0,2.0,63.16230392456055
0.12,1.0,150.0,5.0,5.0,1000000.0,
0.06,0.5,25.0,0.5,25.0,1.0,63.4744758605957
0.24,1.0,25.0,50.0,75.0,2.0,
0.24,1.0,75.0,50.0,75.0,1000000.0,
0.03,1.0,25.0,5.0,5.0,1.0,55.43130111694336
0.06,0.5,25.0,0.02,25.0,2.0,83.39506530761719
0.12,1.0,25.0,50.0,75.0,0.5,
0.12,0.25,150.0,0.1,75.0,1000000.0,
0.03,0.25,150.0,0.5,5.0,1000000.0,67.07608795166016
0.03,0.5,75.0,0.1,75.0,0.5,72.52095031738281
0.03,0.25,150.0,5.0,5.0,1.0,56.00083541870117
0.06,1.0,25.0,50.0,75.0,1.0,
0.06,0.25,75.0,50.0,5.0,2.0,58.895713806152344
0.015,0.5,25.0,5.0,5.0,2.0,57.55575180053711
0.015,0.5,25.0,0.5,5.0,0.5,54.309730529785156
0.015,1.0,150.0,0.5,75.0,0.5,60.263648986816406
0.06,0.25,75.0,50.0,5.0,0.5,56.22747802734375
0.12,0.5,25.0,0.5,5.0,1000000.0,88.5091552734375
0.03,0.5,25.0,0.1,75.0,2.0,70.60472106933594
0.03,0.5,150.0,0.5,25.0,0.5,61.038700103759766
0.24,0.25,150.0,50.0,25.0,1000000.0,
0.24,0.25,25.0,5.0,25.0,0.5,71.34061431884766
0.12,1.0,150.0,50.0,75.0,1.0,
0.015,1.0,25.0,50.0,75.0,1000000.0,63.84005355834961
0.03,1.0,150.0,0.5,75.0,0.5,64.24612426757812
0.015,1.0,150.0,50.0,75.0,2.0,61.91220474243164
0.015,0.25,25.0,50.0,25.0,1000000.0,63.257179260253906
0.015,1.0,25.0,0.5,75.0,1.0,57.60311508178711
0.03,0.5,150.0,0.5,25.0,1000000.0,
0.06,1.0,150.0,0.5,25.0,0.5,
0.03,0.5,150.0,5.0,25.0,1000000.0,
0.015,1.0,75.0,5.0,25.0,1000000.0,65.75992584228516
0.015,0.5,150.0,0.1,75.0,1000000.0,78.28421783447266
0.24,0.5,150.0,5.0,75.0,1000000.0,
0.03,0.25,150.0,0.02,75.0,1000000.0,98.4646224975586
0.24,0.25,75.0,0.1,5.0,1000000.0,
0.24,0.5,25.0,0.02,5.0,0.5,72.3055191040039
0.24,0.25,75.0,0.02,75.0,0.5,97.992919921875
0.24,1.0,25.0,0.1,75.0,1000000.0,
0.06,1.0,150.0,0.1,75.0,2.0,
0.24,0.5,75.0,0.02,75.0,1.0,
0.06,0.25,25.0,0.02,5.0,0.5,60.88517761230469
0.03,0.25,25.0,0.5,5.0,1.0,55.092281341552734
0.12,0.5,150.0,0.5,75.0,1000000.0,
0.12,0.5,25.0,0.02,25.0,1000000.0,103.29578399658203
0.03,0.5,75.0,5.0,75.0,1.0,57.71377182006836
0.015,1.0,75.0,50.0,25.0,0.5,54.35197448730469
0.03,0.25,150.0,0.1,75.0,1.0,74.4357681274414
0.24,1.0,25.0,5.0,5.0,2.0,75.87840270996094
0.03,0.25,150.0,0.5,5.0,2.0,55.649147033691406
0.12,0.25,75.0,5.0,5.0,1000000.0,
0.015,0.25,150.0,5.0,5.0,1.0,59.02712631225586
0.06,0.5,75.0,0.02,75.0,2.0,90.39018249511719
0.12,0.5,150.0,0.5,75.0,1.0,
0.12,0.5,150.0,5.0,5.0,1.0,
0.03,0.5,25.0,0.02,5.0,1.0,58.4279670715332
0.015,0.25,75.0,0.1,25.0,1000000.0,71.46757507324219
0.06,0.25,75.0,50.0,75.0,1.0,
0.12,0.5,25.0,0.1,75.0,2.0,88.70693969726562
0.24,1.0,150.0,0.1,5.0,2.0,
0.12,1.0,25.0,0.02,25.0,2.0,92.84114074707031
0.12,0.5,25.0,5.0,75.0,2.0,
0.24,0.5,25.0,0.5,5.0,0.5,70.92007446289062
0.24,1.0,150.0,5.0,25.0,1.0,
0.03,0.25,25.0,50.0,75.0,0.5,53.485939025878906
0.015,0.5,25.0,0.1,25.0,0.5,63.980201721191406
0.015,0.25,150.0,50.0,5.0,1000000.0,67.43229675292969
0.24,0.5,75.0,5.0,25.0,1000000.0,
0.24,1.0,75.0,50.0,25.0,2.0,
0.06,0.5,75.0,0.02,75.0,0.5,82.70743560791016
0.12,1.0,25.0,0.5,25.0,1000000.0,
0.24,0.25,150.0,0.5,75.0,1000000.0,
0.12,0.25,150.0,0.02,5.0,2.0,
0.015,0.5,25.0,5.0,75.0,2.0,58.057373046875
0.03,1.0,150.0,0.02,5.0,1.0,53.869632720947266
0.03,0.25,150.0,5.0,5.0,2.0,54.6896858215332
0.24,0.5,75.0,5.0,25.0,0.5,69.81301879882812
0.03,1.0,25.0,50.0,75.0,1000000.0,
0.015,0.25,150.0,0.5,25.0,0.5,58.66597366333008
0.015,0.25,75.0,50.0,75.0,1.0,55.51193618774414
0.03,1.0,150.0,0.02,75.0,2.0,81.34443664550781
0.24,0.25,25.0,50.0,75.0,2.0,
0.06,0.25,25.0,0.5,25.0,2.0,67.25992584228516
0.24,0.25,150.0,0.5,25.0,1.0,
0.12,0.25,75.0,5.0,25.0,0.5,64.93995666503906
0.24,0.25,25.0,0.02,5.0,0.5,72.19242095947266
0.03,1.0,25.0,50.0,75.0,1.0,56.34135818481445
0.03,0.25,150.0,0.1,75.0,1000000.0,74.71195220947266
0.03,0.25,25.0,0.5,75.0,1000000.0,
0.12,0.5,150.0,50.0,5.0,1000000.0,
0.24,0.5,150.0,0.1,75.0,1.0,
0.03,0.5,75.0,0.1,5.0,0.5,55.19565963745117
0.06,0.25,75.0,0.02,5.0,2.0,62.78300857543945
0.015,0.25,75.0,5.0,25.0,1.0,56.66023254394531
0.015,0.5,150.0,5.0,5.0,1000000.0,67.92743682861328
0.03,1.0,25.0,0.02,25.0,0.5,73.50788879394531
0.12,1.0,25.0,0.02,75.0,0.5,97.31059265136719
0.06,1.0,150.0,50.0,75.0,0.5,
0.03,0.25,150.0,0.1,75.0,2.0,69.04724884033203
0.12,0.25,75.0,0.5,5.0,0.5,63.088897705078125
0.03,0.5,150.0,0.1,25.0,0.5,65.5162353515625
0.03,0.25,150.0,0.5,25.0,2.0,58.4297981262207
0.06,0.25,75.0,5.0,25.0,0.5,60.88661575317383
0.06,0.25,75.0,0.5,5.0,2.0,62.169273376464844
0.12,0.25,75.0,0.5,25.0,1.0,
0.03,0.5,25.0,50.0,75.0,0.5,53.831241607666016
0.015,0.25,25.0,0.1,25.0,0.5,63.82802200317383
0.24,0.5,150.0,0.02,75.0,2.0,
0.12,0.5,25.0,0.02,75.0,2.0,103.42383575439453
0.015,0.25,25.0,0.02,75.0,2.0,88.06163787841797
0.03,0.25,150.0,5.0,75.0,2.0,58.6164436340332
0.12,1.0,75.0,0.1,5.0,1000000.0,
0.24,1.0,25.0,5.0,25.0,2.0,
0.015,1.0,25.0,50.0,5.0,0.5,52.522491455078125
0.03,0.5,75.0,0.5,75.0,2.0,58.60337448120117
0.06,0.5,75.0,50.0,25.0,1.0,60.98765563964844
0.03,1.0,75.0,0.1,75.0,1.0,71.32231140136719
0.24,0.5,25.0,5.0,25.0,2.0,
0.24,1.0,75.0,0.5,75.0,0.5,
0.12,0.25,150.0,0.02,75.0,0.5,90.14472198486328
0.06,0.5,150.0,0.5,75.0,0.5,
0.03,0.5,150.0,5.0,25.0,1.0,60.34099197387695
0.03,0.5,150.0,50.0,75.0,1.0,58.6624641418457
0.015,1.0,150.0,50.0,75.0,1.0,59.10747146606445
0.015,1.0,25.0,0.1,25.0,1000000.0,72.47969055175781
0.12,0.5,75.0,0.5,5.0,2.0,71.34907531738281
0.24,0.5,75.0,0.02,75.0,2.0,
0.03,0.25,150.0,0.1,5.0,1000000.0,67.15251922607422
0.03,0.25,150.0,50.0,75.0,1.0,58.04356384277344
0.06,0.5,150.0,50.0,75.0,0.5,
0.06,1.0,150.0,5.0,5.0,2.0,
0.03,0.25,75.0,0.02,5.0,1.0,53.89753723144531
0.06,0.5,25.0,0.5,75.0,1000000.0,
0.24,0.25,75.0,50.0,25.0,1.0,
0.12,1.0,150.0,0.1,75.0,0.5,
0.015,1.0,150.0,50.0,5.0,1.0,56.61860275268555
0.12,0.25,75.0,0.02,75.0,2.0,101.89779663085938
0.24,0.5,150.0,5.0,75.0,2.0,
0.12,0.5,150.0,50.0,25.0,2.0,
0.015,0.5,150.0,5.0,5.0,1.0,59.10942840576172
0.12,1.0,25.0,0.02,25.0,0.5,84.16720581054688
0.015,0.5,25.0,0.5,75.0,1000000.0,66.42321014404297
0.24,0.5,25.0,0.5,5.0,1.0,74.23538970947266
0.24,0.5,25.0,0.1,75.0,1.0,
0.12,0.5,75.0,50.0,25.0,1000000.0,
0.24,0.25,150.0,0.1,5.0,1.0,
0.03,0.25,150.0,0.02,5.0,0.5,52.95647048950195
0.06,0.5,75.0,5.0,5.0,0.5,57.78996658325195
0.24,0.5,150.0,0.02,5.0,0.5,
0.015,1.0,150.0,0.02,25.0,2.0,72.11869049072266
0.12,0.5,75.0,5.0,25.0,1000000.0,
0.015,0.25,75.0,0.5,25.0,1000000.0,66.56419372558594
0.03,0.5,150.0,0.02,5.0,1.0,53.7085075378418
0.03,0.5,25.0,0.1,5.0,1000000.0,70.6312484741211
0.03,0.5,75.0,50.0,25.0,1.0,54.62747573852539
0.06,0.5,150.0,50.0,25.0,0.5,61.848411560058594
0.015,1.0,25.0,0.02,75.0,2.0,87.75714111328125
0.015,0.25,25.0,0.1,5.0,0.5,57.57168197631836
0.24,0.25,75.0,50.0,75.0,0.5,
0.015,0.5,75.0,5.0,75.0,1.0,57.1547966003418
0.12,0.25,25.0,0.1,75.0,1.0,83.0404052734375
0.015,1.0,75.0,5.0,25.0,2.0,59.470436096191406
0.06,0.5,25.0,5.0,75.0,0.5,60.56732177734375
0.03,0.5,25.0,0.5,5.0,1000000.0,69.10548400878906
0.06,0.5,150.0,50.0,75.0,1.0,
0.03,0.5,25.0,50.0,5.0,0.5,52.60105514526367
0.015,0.5,150.0,0.5,5.0,1.0,58.33225631713867
0.06,1.0,75.0,5.0,75.0,2.0,
0.015,0.5,25.0,50.0,5.0,1.0,53.354061126708984
0.03,0.25,75.0,5.0,25.0,2.0,55.865482330322266
0.015,0.5,75.0,0.02,25.0,1000000.0,82.09990692138672
0.03,0.25,25.0,5.0,25.0,1.0,54.12993621826172
0.24,1.0,25.0,50.0,25.0,1.0,
0.24,1.0,150.0,0.1,75.0,1000000.0,
0.12,0.5,150.0,5.0,25.0,0.5,
0.06,0.5,75.0,0.5,25.0,2.0,66.36558532714844
0.06,0.25,25.0,0.1,25.0,1000000.0,82.08280944824219
0.06,0.5,75.0,50.0,25.0,2.0,62.49624252319336
0.015,0.25,75.0,50.0,5.0,1.0,54.318111419677734
0.24,0.25,75.0,0.5,5.0,2.0,
0.24,0.25,25.0,5.0,5.0,0.5,68.4653091430664
0.06,1.0,75.0,0.02,25.0,1000000.0,93.55673217773438
0.03,0.25,75.0,0.1,5.0,2.0,56.18312454223633
0.03,0.25,25.0,0.02,5.0,0.5,57.43563461303711
0.24,0.5,75.0,0.5,25.0,1000000.0,
0.24,0.5,150.0,0.5,75.0,1.0,
0.06,1.0,25.0,0.02,75.0,2.0,93.5335464477539
0.015,0.5,150.0,0.5,25.0,1000000.0,69.7303466796875
0.06,0.25,150.0,50.0,25.0,2.0,61.75714874267578
0.03,0.5,150.0,0.5,5.0,1.0,56.53828048706055
0.03,0.25,150.0,5.0,5.0,1000000.0,65.30783081054688
0.24,0.25,25.0,0.1,5.0,0.5,72.10979461669922
0.015,1.0,25.0,0.02,75.0,0.5,85.28607940673828
0.03,1.0,150.0,0.5,75.0,2.0,
0.03,1.0,150.0,0.5,25.0,1.0,62.74455642700195
0.015,0.5,75.0,0.1,5.0,1.0,57.50752258300781
0.12,1.0,75.0,5.0,75.0,0.5,
0.06,1.0,75.0,0.02,75.0,1000000.0,104.66879272460938
0.12,0.5,150.0,0.02,5.0,1.0,63.57881164550781
0.24,1.0,25.0,0.02,75.0,1.0,101.88719177246094
0.12,0.25,75.0,0.02,25.0,1000000.0,
0.24,0.25,25.0,0.5,5.0,1.0,74.13970184326172
0.03,0.5,75.0,0.5,25.0,1.0,57.288272857666016
0.12,0.25,75.0,0.1,25.0,0.5,73.26020050048828
0.06,0.5,150.0,5.0,5.0,1000000.0,
0.12,0.5,150.0,0.5,25.0,0.5,
0.03,0.5,25.0,50.0,5.0,2.0,57.37020492553711
0.12,1.0,75.0,0.5,5.0,1.0,67.31624603271484
0.03,1.0,150.0,0.02,5.0,0.5,53.2839469909668
0.015,0.5,25.0,5.0,75.0,0.5,53.13069534301758
0.06,1.0,150.0,50.0,5.0,2.0,
0.015,0.5,75.0,5.0,25.0,1000000.0,65.33930206298828
0.015,0.5,75.0,0.1,25.0,0.5,63.91173553466797
0.03,0.25,75.0,5.0,75.0,2.0,56.56272506713867
0.12,0.25,150.0,5.0,75.0,1.0,
0.24,0.5,150.0,50.0,25.0,1000000.0,
0.12,0.5,25.0,0.5,5.0,2.0,74.75792694091797
0.06,1.0,25.0,0.02,25.0,0.5,77.1907958984375
0.24,0.5,75.0,0.1,25.0,1000000.0,
0.12,0.25,25.0,0.5,25.0,1000000.0,
0.015,0.5,150.0,0.02,75.0,2.0,83.92640686035156
0.24,0.25,25.0,0.5,25.0,1000000.0,
0.06,1.0,75.0,5.0,75.0,1000000.0,
0.015,1.0,75.0,0.02,25.0,1.0,70.8067626953125
0.24,0.25,75.0,0.1,25.0,1.0,
0.24,0.5,150.0,50.0,25.0,0.5,
0.03,0.25,75.0,0.5,25.0,0.5,57.19561004638672
0.03,0.25,75.0,0.5,5.0,0.5,55.167755126953125
0.12,0.25,75.0,5.0,25.0,1000000.0,
0.06,0.25,75.0,0.02,75.0,2.0,90.32671356201172
0.03,0.5,75.0,5.0,5.0,2.0,54.48225402832031
0.03,1.0,25.0,0.02,75.0,1.0,83.59962463378906
0.015,0.25,25.0,5.0,5.0,1000000.0,63.135990142822266
0.015,1.0,25.0,0.1,75.0,2.0,71.01964569091797
0.12,0.5,75.0,50.0,5.0,0.5,61.01211929321289
0.03,1.0,25.0,5.0,75.0,2.0,60.905513763427734
0.24,0.5,150.0,0.5,5.0,2.0,
0.12,1.0,150.0,50.0,25.0,1000000.0,
0.06,0.25,150.0,0.1,5.0,2.0,58.9655876159668
0.06,1.0,75.0,0.1,75.0,2.0,78.05862426757812
0.12,0.25,25.0,0.1,25.0,1000000.0,94.29051971435547
0.06,1.0,25.0,0.02,5.0,1.0,64.64785766601562
0.06,0.5,75.0,5.0,75.0,2.0,
0.12,0.5,150.0,0.5,5.0,0.5,
0.06,0.25,75.0,0.02,25.0,1000000.0,92.62692260742188
0.015,1.0,25.0,0.5,5.0,1000000.0,65.43421936035156
0.03,1.0,150.0,5.0,75.0,1.0,64.22821807861328
0.06,0.5,75.0,0.02,5.0,1000000.0,79.12545013427734
0.015,1.0,75.0,0.02,25.0,0.5,70.42034149169922
0.12,0.25,25.0,0.1,25.0,1.0,75.2750473022461
0.24,0.5,25.0,50.0,5.0,1.0,68.287109375
0.12,0.5,25.0,0.1,25.0,1000000.0,94.62222290039062
0.24,0.5,150.0,50.0,75.0,1.0,
0.015,0.25,150.0,0.02,75.0,0.5,80.6749038696289
0.24,1.0,75.0,50.0,5.0,1000000.0,
0.015,0.25,150.0,0.5,5.0,1.0,58.262046813964844
0.03,1.0,75.0,0.5,75.0,1000000.0,
0.12,0.5,150.0,50.0,75.0,2.0,
0.12,0.25,75.0,50.0,25.0,1000000.0,
