ls_xy,ls_z,os_xyz,ls_t,os_t,mse
0.015,0.25,150.0,0.5,25.0,69.50492095947266
0.24,0.25,75.0,0.1,25.0,
0.24,1.0,150.0,50.0,75.0,
0.24,1.0,75.0,0.1,25.0,
0.06,0.5,150.0,0.1,25.0,
0.06,0.25,150.0,0.02,5.0,
0.06,1.0,25.0,50.0,75.0,
0.015,1.0,150.0,50.0,25.0,68.5921630859375
0.12,0.5,150.0,50.0,25.0,
0.06,0.5,75.0,0.02,75.0,105.2889404296875
0.24,1.0,25.0,0.02,75.0,113.8611068725586
0.03,0.5,75.0,0.02,75.0,96.5883560180664
0.12,0.5,25.0,0.1,5.0,86.89055633544922
0.015,1.0,75.0,0.5,5.0,66.10494995117188
0.12,1.0,25.0,5.0,25.0,
0.015,1.0,25.0,5.0,5.0,63.634281158447266
0.03,0.5,25.0,0.1,5.0,70.65726470947266
0.06,0.25,75.0,50.0,75.0,
0.24,1.0,25.0,0.5,5.0,
0.24,1.0,25.0,50.0,75.0,
0.24,0.5,150.0,0.5,5.0,
0.03,1.0,75.0,0.02,5.0,69.72450256347656
0.12,1.0,150.0,0.1,5.0,
0.24,0.5,75.0,0.5,5.0,
0.12,0.5,150.0,5.0,75.0,
0.015,0.25,75.0,0.1,25.0,71.34983825683594
0.03,1.0,150.0,50.0,75.0,
0.24,1.0,25.0,5.0,5.0,
0.24,0.5,75.0,0.1,25.0,
0.03,0.25,150.0,0.5,75.0,
0.12,1.0,25.0,0.1,25.0,96.20762634277344
0.015,1.0,25.0,0.1,75.0,76.20149230957031
0.015,1.0,75.0,0.02,25.0,81.7716064453125
0.03,1.0,150.0,50.0,25.0,
0.12,0.25,150.0,0.5,75.0,
0.24,0.5,25.0,0.02,25.0,104.72374725341797
0.015,0.5,75.0,5.0,75.0,65.59146118164062
0.06,1.0,150.0,5.0,75.0,
0.24,1.0,75.0,0.02,75.0,
0.12,1.0,75.0,0.5,75.0,
0.015,0.5,25.0,0.5,75.0,66.44841766357422
0.24,1.0,150.0,0.1,5.0,
0.24,1.0,75.0,5.0,5.0,
0.06,0.5,25.0,0.02,25.0,93.84406280517578
0.12,1.0,75.0,50.0,25.0,
0.24,0.5,75.0,0.1,5.0,
0.015,0.25,25.0,5.0,5.0,63.14946746826172
0.24,0.25,75.0,50.0,5.0,
0.12,0.25,75.0,0.5,75.0,
0.015,0.25,25.0,0.5,25.0,65.92894744873047
0.03,0.5,25.0,0.1,25.0,74.98037719726562
0.06,0.25,25.0,50.0,5.0,73.9954833984375
0.015,0.5,150.0,50.0,25.0,68.1624984741211
0.015,0.25,75.0,5.0,75.0,65.53972625732422
0.03,1.0,150.0,5.0,25.0,67.71135711669922
0.12,0.5,75.0,0.1,5.0,
0.015,0.25,75.0,50.0,75.0,65.00709533691406
0.06,0.5,75.0,5.0,25.0,
0.12,1.0,25.0,5.0,5.0,86.63623046875
0.24,1.0,25.0,0.1,75.0,
0.06,0.5,25.0,50.0,75.0,
0.12,0.5,150.0,0.5,25.0,
0.03,0.25,25.0,0.5,25.0,69.93736267089844
0.24,0.5,25.0,50.0,75.0,
0.06,1.0,25.0,0.1,25.0,84.51191711425781
0.12,0.25,150.0,0.1,75.0,
0.015,1.0,150.0,0.02,25.0,80.81208801269531
0.06,0.25,25.0,0.1,75.0,88.39248657226562
0.12,0.5,75.0,5.0,5.0,
0.03,0.5,25.0,5.0,75.0,
0.06,0.5,25.0,0.02,75.0,103.5383071899414
0.12,1.0,75.0,0.5,5.0,
0.06,1.0,75.0,0.1,75.0,
0.12,0.25,25.0,0.02,25.0,103.07718658447266
0.24,0.5,25.0,0.02,5.0,97.5978775024414
0.015,0.25,25.0,0.02,25.0,85.86322021484375
0.03,0.25,150.0,0.1,75.0,
0.06,0.5,150.0,5.0,25.0,
0.06,1.0,25.0,0.5,5.0,80.07864379882812
0.24,0.25,150.0,0.02,5.0,
0.12,1.0,150.0,5.0,5.0,
0.24,0.25,75.0,50.0,25.0,
0.03,0.5,150.0,0.1,25.0,70.50001525878906
0.015,0.25,150.0,0.1,5.0,68.51727294921875
0.06,0.5,150.0,0.5,5.0,
0.06,0.25,75.0,0.1,5.0,73.95547485351562
0.06,0.25,150.0,50.0,5.0,
0.015,0.5,25.0,0.02,75.0,92.86194610595703
0.015,0.5,150.0,0.02,5.0,69.4443130493164
0.06,1.0,150.0,0.5,25.0,
0.03,1.0,75.0,0.5,75.0,
0.03,0.5,150.0,50.0,25.0,
0.06,0.25,150.0,0.02,25.0,
0.06,1.0,25.0,0.02,75.0,102.44332885742188
0.12,0.5,150.0,0.02,75.0,
0.015,0.25,75.0,5.0,25.0,65.19256591796875
0.24,1.0,150.0,0.5,5.0,
0.12,1.0,75.0,5.0,75.0,
0.015,0.5,75.0,5.0,5.0,64.6957015991211
0.24,1.0,25.0,0.1,25.0,
0.12,0.25,150.0,5.0,25.0,
0.03,1.0,75.0,5.0,75.0,
0.03,0.25,25.0,0.5,75.0,
0.03,0.5,25.0,5.0,5.0,66.73834991455078
0.06,0.5,75.0,0.5,75.0,
0.06,1.0,150.0,0.02,75.0,
0.03,1.0,150.0,0.5,5.0,67.6501693725586
0.12,0.5,75.0,50.0,75.0,
0.06,0.25,25.0,0.02,25.0,93.84803009033203
0.06,0.25,150.0,0.1,75.0,
0.24,0.25,75.0,0.02,5.0,
0.24,0.5,150.0,0.02,75.0,
0.015,0.25,75.0,0.5,5.0,65.80560302734375
0.015,0.5,150.0,0.1,75.0,77.9947738647461
0.24,0.5,25.0,50.0,25.0,
0.03,1.0,150.0,50.0,5.0,65.8248291015625
0.06,0.5,75.0,0.5,5.0,76.47116088867188
0.03,0.25,150.0,0.02,5.0,68.46980285644531
0.03,0.5,150.0,0.02,25.0,82.08219909667969
0.24,0.25,25.0,0.5,25.0,
0.06,1.0,25.0,0.1,5.0,78.76612854003906
0.03,0.25,150.0,0.1,25.0,70.40481567382812
0.12,1.0,75.0,5.0,25.0,
0.12,1.0,25.0,50.0,25.0,
0.06,0.25,150.0,0.1,5.0,
0.24,0.5,75.0,0.1,75.0,
0.03,1.0,25.0,5.0,5.0,68.16158294677734
0.12,0.5,75.0,50.0,5.0,
0.24,1.0,75.0,0.5,25.0,
0.12,0.25,150.0,5.0,75.0,
0.015,0.25,75.0,50.0,25.0,64.89329528808594
0.24,0.5,25.0,0.5,5.0,
0.03,0.5,75.0,0.1,25.0,71.36417388916016
0.06,0.5,150.0,0.1,5.0,
0.03,0.25,25.0,0.02,5.0,73.4463119506836
0.12,0.5,75.0,0.02,25.0,
0.03,1.0,75.0,0.5,5.0,68.14671325683594
0.015,0.25,75.0,0.5,25.0,66.49483489990234
0.015,0.5,25.0,0.02,25.0,85.658203125
0.03,1.0,150.0,0.02,5.0,68.69590759277344
0.03,0.25,75.0,5.0,5.0,65.10857391357422
0.12,0.25,150.0,0.02,5.0,
0.015,0.5,150.0,5.0,75.0,69.58353424072266
0.015,0.5,75.0,5.0,25.0,65.23291778564453
0.03,1.0,150.0,5.0,5.0,65.90467071533203
0.24,1.0,25.0,5.0,75.0,
0.24,0.25,75.0,50.0,75.0,
0.015,0.5,25.0,0.1,75.0,75.73590087890625
0.24,0.25,25.0,0.5,5.0,
0.12,0.5,75.0,0.1,75.0,
0.03,1.0,25.0,5.0,25.0,68.97074890136719
0.015,0.5,150.0,5.0,5.0,67.7638931274414
0.015,0.5,25.0,0.1,25.0,72.10928344726562
0.03,1.0,150.0,0.1,75.0,
0.12,1.0,25.0,0.5,5.0,89.87234497070312
0.12,1.0,75.0,5.0,5.0,
0.12,0.5,25.0,50.0,75.0,
0.03,0.25,150.0,5.0,75.0,
0.12,0.5,75.0,50.0,25.0,
0.24,0.25,25.0,0.02,75.0,109.59734344482422
0.24,0.5,25.0,0.1,5.0,100.15509796142578
0.015,1.0,150.0,0.1,25.0,73.40016174316406
0.06,0.25,75.0,50.0,25.0,
0.24,0.5,150.0,0.5,25.0,
0.06,1.0,75.0,0.02,75.0,104.4547119140625
0.24,0.25,25.0,5.0,25.0,
0.03,1.0,75.0,0.02,25.0,83.23401641845703
0.24,1.0,75.0,5.0,75.0,
0.24,0.5,150.0,50.0,75.0,
0.12,0.25,150.0,0.1,5.0,
0.12,0.25,150.0,50.0,5.0,
0.03,0.5,25.0,0.02,25.0,87.5508041381836
0.03,0.25,150.0,5.0,5.0,65.2822494506836
0.06,0.25,25.0,0.02,5.0,81.09854125976562
0.03,0.5,25.0,5.0,25.0,67.30559539794922
0.06,0.5,25.0,0.5,5.0,77.68639373779297
0.03,0.5,25.0,50.0,75.0,
0.12,0.5,150.0,50.0,75.0,
0.24,0.5,150.0,0.1,25.0,
0.06,1.0,150.0,5.0,5.0,
0.06,1.0,150.0,0.5,75.0,
0.03,1.0,150.0,0.1,25.0,70.62372589111328
0.03,1.0,75.0,50.0,75.0,
0.03,0.25,150.0,50.0,25.0,
0.12,1.0,75.0,0.1,25.0,
0.03,0.5,75.0,50.0,25.0,65.9052963256836
0.03,0.5,25.0,0.5,75.0,
0.015,1.0,150.0,5.0,75.0,70.04757690429688
0.24,0.5,75.0,0.02,75.0,
0.06,0.25,25.0,0.02,75.0,103.92469024658203
0.06,0.5,150.0,50.0,5.0,
0.12,0.25,75.0,5.0,75.0,
0.03,1.0,150.0,0.5,75.0,
0.06,0.5,25.0,0.02,5.0,81.3704833984375
0.015,0.25,75.0,0.1,5.0,67.1560287475586
0.12,0.25,25.0,5.0,75.0,
0.24,1.0,25.0,0.5,25.0,
0.015,0.5,25.0,0.1,5.0,67.80746459960938
0.24,1.0,75.0,50.0,25.0,
0.03,0.5,25.0,0.1,75.0,78.86328125
0.24,1.0,75.0,0.1,5.0,
0.06,1.0,75.0,5.0,75.0,
0.015,0.5,75.0,50.0,75.0,65.05223083496094
0.015,0.5,25.0,5.0,75.0,63.57700729370117
0.06,0.5,150.0,0.1,75.0,
0.03,1.0,25.0,0.02,75.0,96.43736267089844
0.06,0.25,150.0,0.5,75.0,
0.24,0.25,75.0,0.5,75.0,
0.03,0.25,75.0,0.1,75.0,75.41695404052734
0.06,0.5,75.0,0.02,5.0,79.06639862060547
0.03,0.25,75.0,0.02,25.0,83.38658905029297
0.03,0.25,75.0,0.02,5.0,69.42585754394531
0.06,0.25,75.0,0.5,5.0,
0.03,1.0,75.0,0.1,75.0,75.34603118896484
0.03,1.0,25.0,50.0,5.0,67.9660415649414
0.12,0.25,75.0,0.5,25.0,
0.12,1.0,75.0,0.1,5.0,
0.015,0.25,25.0,0.1,5.0,67.88440704345703
0.06,0.25,75.0,0.5,25.0,
0.12,1.0,75.0,50.0,5.0,
0.03,0.5,25.0,0.02,5.0,73.43807983398438
0.06,0.25,150.0,50.0,75.0,
0.12,0.5,150.0,0.1,75.0,
0.03,1.0,75.0,5.0,25.0,67.6866455078125
0.03,1.0,25.0,0.1,5.0,71.31401824951172
0.24,1.0,25.0,5.0,25.0,
0.015,0.25,25.0,0.1,25.0,72.13874816894531
0.12,0.25,75.0,50.0,25.0,
0.24,0.5,25.0,5.0,25.0,
0.06,1.0,75.0,0.1,5.0,75.74897766113281
0.06,0.5,25.0,50.0,5.0,74.50906372070312
0.12,0.25,25.0,5.0,5.0,84.79820251464844
0.015,0.25,25.0,50.0,25.0,63.27190017700195
0.015,0.5,75.0,0.1,5.0,67.13118743896484
0.24,1.0,75.0,0.02,5.0,
0.015,1.0,75.0,0.02,5.0,69.20735931396484
0.12,0.5,25.0,0.02,5.0,91.19580841064453
0.03,0.25,25.0,0.02,25.0,87.74195861816406
0.12,0.25,150.0,50.0,75.0,
0.06,1.0,75.0,5.0,25.0,
0.12,0.5,25.0,5.0,75.0,
0.03,0.25,150.0,0.02,75.0,98.04171752929688
0.015,0.5,150.0,0.02,75.0,91.8908920288086
0.03,0.25,25.0,5.0,75.0,
0.06,0.5,150.0,50.0,75.0,
0.03,0.25,75.0,0.1,25.0,71.31839752197266
0.03,0.25,75.0,0.5,5.0,67.20455169677734
0.12,0.25,25.0,0.5,5.0,88.1729965209961
0.03,0.5,75.0,0.02,5.0,69.44732666015625
0.24,0.25,25.0,0.02,25.0,104.13807678222656
0.24,0.5,25.0,0.5,25.0,
0.24,0.5,25.0,0.02,75.0,110.47640228271484
0.24,0.25,25.0,5.0,75.0,
0.015,1.0,150.0,5.0,5.0,68.01415252685547
0.12,1.0,25.0,0.02,25.0,103.44254302978516
0.24,1.0,150.0,50.0,5.0,
0.015,0.5,150.0,0.5,25.0,69.56793975830078
0.24,0.5,150.0,50.0,5.0,
0.03,1.0,25.0,0.1,75.0,79.51947021484375
0.24,0.25,150.0,50.0,5.0,
0.015,0.5,25.0,50.0,75.0,63.314334869384766
0.12,0.25,25.0,0.02,5.0,90.9748764038086
0.24,0.5,150.0,5.0,75.0,
0.12,0.25,25.0,0.1,75.0,
0.12,1.0,25.0,0.5,25.0,
0.015,0.25,150.0,0.5,5.0,68.44031524658203
0.24,0.25,75.0,5.0,5.0,
0.015,0.5,150.0,0.5,5.0,68.44776153564453
0.03,0.5,25.0,50.0,5.0,66.46109008789062
0.015,0.25,150.0,0.1,75.0,77.92847442626953
0.03,0.25,75.0,5.0,25.0,66.04348754882812
0.12,0.5,75.0,5.0,75.0,
0.03,0.25,75.0,50.0,25.0,65.54118347167969
0.24,1.0,150.0,0.02,25.0,
0.24,0.5,25.0,50.0,5.0,
0.24,0.5,25.0,0.1,25.0,
0.03,0.5,25.0,0.5,5.0,69.12742614746094
0.03,0.5,150.0,5.0,5.0,65.42385864257812
0.03,0.5,25.0,0.02,75.0,96.90743255615234
0.12,0.25,75.0,50.0,75.0,
0.015,0.25,75.0,0.5,75.0,66.76201629638672
0.015,1.0,150.0,0.02,5.0,69.69618225097656
0.06,1.0,75.0,0.5,5.0,
0.24,0.5,75.0,0.5,75.0,
0.06,1.0,75.0,50.0,75.0,
0.015,1.0,150.0,0.5,25.0,69.92308044433594
0.06,0.5,150.0,0.02,5.0,
0.24,0.5,25.0,0.1,75.0,
0.03,0.25,25.0,0.1,75.0,78.8498764038086
0.03,1.0,75.0,0.1,25.0,71.55681610107422
0.24,0.25,75.0,0.1,75.0,
0.015,1.0,75.0,5.0,75.0,66.04487609863281
0.12,1.0,75.0,50.0,75.0,
0.015,0.5,75.0,50.0,25.0,64.93084716796875
0.06,1.0,25.0,0.1,75.0,
0.015,0.5,25.0,5.0,5.0,63.13506317138672
0.06,1.0,150.0,5.0,25.0,
0.24,0.25,25.0,0.1,5.0,99.91938781738281
0.03,1.0,75.0,50.0,5.0,66.09710693359375
0.015,1.0,25.0,0.1,5.0,68.08212280273438
0.24,0.5,150.0,0.1,75.0,
0.015,0.25,75.0,50.0,5.0,64.5903549194336
0.015,0.5,75.0,0.02,5.0,69.07112884521484
0.24,0.5,25.0,5.0,5.0,
0.12,0.5,75.0,0.1,25.0,
0.015,1.0,150.0,0.02,75.0,91.87629699707031
0.015,1.0,25.0,50.0,5.0,63.663211822509766
0.06,0.25,25.0,5.0,5.0,75.26451873779297
0.12,0.25,25.0,50.0,5.0,82.2743911743164
0.015,1.0,150.0,0.1,75.0,78.29854583740234
0.12,1.0,25.0,5.0,75.0,
0.12,1.0,150.0,0.1,75.0,
0.03,0.5,25.0,0.5,25.0,70.16524505615234
0.12,0.25,75.0,0.02,5.0,
0.24,1.0,75.0,50.0,75.0,
0.12,0.25,150.0,0.02,75.0,
0.03,0.5,150.0,0.1,5.0,67.18849182128906
0.03,0.5,150.0,5.0,75.0,
0.015,0.25,25.0,5.0,75.0,63.58736801147461
0.03,1.0,150.0,0.1,5.0,67.34391021728516
0.06,0.5,150.0,5.0,75.0,
0.24,0.25,150.0,0.02,75.0,
0.24,0.25,150.0,0.1,5.0,
0.12,1.0,75.0,0.02,25.0,
0.24,0.25,25.0,5.0,5.0,
0.06,0.5,150.0,0.02,75.0,
0.12,1.0,150.0,0.02,25.0,
0.12,0.5,150.0,0.1,25.0,
0.06,1.0,150.0,50.0,75.0,
0.24,0.5,75.0,50.0,5.0,
0.12,0.25,25.0,0.02,75.0,112.71823120117188
0.015,0.25,75.0,0.1,75.0,75.28394317626953
0.12,0.5,150.0,0.1,5.0,
0.03,1.0,25.0,50.0,25.0,68.4829330444336
0.06,1.0,75.0,50.0,25.0,
0.12,0.5,25.0,0.02,75.0,112.69598388671875
0.24,0.25,75.0,0.02,25.0,
0.015,1.0,150.0,5.0,25.0,69.3226089477539
0.12,1.0,25.0,0.02,5.0,92.1421127319336
0.12,1.0,25.0,0.02,75.0,112.52672576904297
0.24,1.0,25.0,50.0,25.0,
0.03,0.5,75.0,50.0,5.0,65.11585235595703
0.24,0.25,75.0,0.5,5.0,
0.24,0.25,25.0,50.0,25.0,
0.24,0.25,25.0,0.1,75.0,
0.03,0.25,75.0,5.0,75.0,
0.015,0.5,150.0,50.0,5.0,67.33087158203125
0.015,1.0,25.0,0.5,25.0,66.21637725830078
0.06,0.25,75.0,5.0,25.0,
0.24,1.0,25.0,0.1,5.0,101.2696533203125
0.12,0.5,25.0,5.0,5.0,85.1064224243164
0.06,0.25,75.0,0.1,25.0,78.8924560546875
0.06,0.5,75.0,50.0,5.0,
0.24,1.0,25.0,0.02,5.0,98.49712371826172
0.12,0.25,150.0,0.02,25.0,
0.24,0.5,150.0,0.1,5.0,
0.24,0.5,75.0,0.5,25.0,
0.015,0.5,75.0,0.1,25.0,71.3556900024414
0.24,1.0,75.0,0.5,75.0,
0.12,0.25,150.0,50.0,25.0,
0.12,0.5,25.0,0.5,75.0,
0.24,1.0,75.0,0.1,75.0,
0.03,0.5,75.0,5.0,75.0,
0.06,0.5,75.0,50.0,25.0,
0.12,0.5,150.0,0.02,25.0,
0.015,0.5,150.0,0.1,5.0,68.51641082763672
0.03,0.25,150.0,0.1,5.0,67.12374114990234
0.24,1.0,75.0,0.5,5.0,
0.12,0.25,75.0,0.5,5.0,
0.12,1.0,150.0,50.0,75.0,
0.06,0.25,150.0,5.0,75.0,
0.015,0.25,25.0,0.1,75.0,75.73124694824219
0.03,0.5,150.0,0.5,5.0,
0.06,0.5,25.0,0.1,75.0,
0.12,0.25,75.0,5.0,25.0,
0.06,0.5,150.0,0.5,25.0,
0.12,0.25,75.0,0.02,25.0,
0.12,0.25,25.0,5.0,25.0,
0.015,1.0,25.0,5.0,25.0,63.868865966796875
0.015,0.5,150.0,0.02,25.0,80.6927490234375
0.24,0.25,150.0,0.5,5.0,
0.015,1.0,150.0,0.5,5.0,68.68738555908203
0.015,0.25,150.0,50.0,75.0,68.35545349121094
0.24,0.5,150.0,0.5,75.0,
0.015,1.0,25.0,50.0,25.0,63.808326721191406
0.06,0.5,75.0,50.0,75.0,
0.12,0.25,25.0,0.5,25.0,
0.06,1.0,150.0,0.02,5.0,
0.24,1.0,150.0,5.0,25.0,
0.015,0.5,25.0,50.0,25.0,63.27146911621094
0.06,0.5,25.0,0.1,25.0,82.4453353881836
0.24,1.0,150.0,0.1,75.0,
0.03,1.0,25.0,0.02,5.0,73.98151397705078
0.24,0.5,75.0,50.0,25.0,
0.12,0.5,75.0,0.02,75.0,
0.06,1.0,150.0,0.1,25.0,
0.06,1.0,25.0,5.0,5.0,78.04552459716797
